State,Year,Quarter,Amount,Insurance_Count
Bihar,2023,1,38746711.0,26929
Bihar,2023,2,40354886.0,29212
Bihar,2023,3,45832355.0,36550
Bihar,2023,4,57624322.0,41447
Chandigarh,2020,2,29537.0,149
Chandigarh,2020,3,70969.0,264
Chandigarh,2020,4,153341.0,200
Chandigarh,2021,1,238576.0,338
Chandigarh,2021,2,310943.0,378
Chandigarh,2021,3,469634.0,494
Chandigarh,2021,4,835813.0,710
Chandigarh,2022,1,1150932.0,792
Chandigarh,2022,2,1874959.0,1330
Chandigarh,2022,3,1998439.0,1533
Chandigarh,2022,4,2024528.0,1403
Chandigarh,2023,1,2415574.0,1520
Chandigarh,2023,2,2501107.0,1704
Chandigarh,2023,3,2660630.0,1883
Chandigarh,2023,4,3053934.0,1767
Chhattisgarh,2020,2,279005.0,1346
Chhattisgarh,2020,3,1393656.0,4702
Chhattisgarh,2020,4,2249901.0,3757
Chhattisgarh,2021,1,2620468.0,4712
Chhattisgarh,2021,2,3813417.0,5055
Chhattisgarh,2021,3,3568837.0,4676
Chhattisgarh,2021,4,8229039.0,6029
Chhattisgarh,2022,1,10139190.0,6612
Chhattisgarh,2022,2,10119964.0,7008
Chhattisgarh,2022,3,12119470.0,8849
Chhattisgarh,2022,4,18137856.0,11994
Chhattisgarh,2023,1,16577191.0,10460
Chhattisgarh,2023,2,16389610.0,10514
Chhattisgarh,2023,3,17838382.0,11927
Chhattisgarh,2023,4,29704673.0,17300
Dadra & Nagar Haveli & Daman & Diu,2020,2,101029.0,651
Dadra & Nagar Haveli & Daman & Diu,2020,3,65504.0,257
Dadra & Nagar Haveli & Daman & Diu,2020,4,149513.0,232
Dadra & Nagar Haveli & Daman & Diu,2021,1,285691.0,467
Dadra & Nagar Haveli & Daman & Diu,2021,2,275638.0,368
Dadra & Nagar Haveli & Daman & Diu,2021,3,273596.0,360
Dadra & Nagar Haveli & Daman & Diu,2021,4,425384.0,421
Dadra & Nagar Haveli & Daman & Diu,2022,1,720741.0,493
Dadra & Nagar Haveli & Daman & Diu,2022,2,686857.0,438
Dadra & Nagar Haveli & Daman & Diu,2022,3,983776.0,707
Dadra & Nagar Haveli & Daman & Diu,2022,4,1272628.0,871
Dadra & Nagar Haveli & Daman & Diu,2023,1,1215168.0,799
Dadra & Nagar Haveli & Daman & Diu,2023,2,1058753.0,694
Dadra & Nagar Haveli & Daman & Diu,2023,3,1333103.0,969
Dadra & Nagar Haveli & Daman & Diu,2023,4,1973867.0,1207
Delhi,2020,2,1897480.0,11716
Delhi,2020,3,1927285.0,7588
Delhi,2020,4,8045442.0,9725
Delhi,2021,1,9655261.0,12822
Delhi,2021,2,10840929.0,13292
Delhi,2021,3,15007079.0,16679
Delhi,2021,4,36578331.0,34251
Delhi,2022,1,35442069.0,28232
Delhi,2022,2,31787281.0,26378
Delhi,2022,3,41570160.0,35944
Delhi,2022,4,60603173.0,48908
Delhi,2023,1,61040038.0,45821
Delhi,2023,2,54951108.0,41358
Delhi,2023,3,58878500.0,47113
Delhi,2023,4,77332401.0,56336
Goa,2020,2,71100.0,341
Goa,2020,3,196864.0,683
Goa,2020,4,682364.0,614
Goa,2021,1,827384.0,879
Goa,2021,2,1028339.0,1016
Goa,2021,3,1385986.0,1214
Goa,2021,4,2737316.0,2087
Goa,2022,1,3865245.0,2634
Goa,2022,2,5093510.0,3524
Goa,2022,3,4142108.0,3157
Goa,2022,4,6190669.0,4388
Goa,2023,1,5859549.0,4097
Goa,2023,2,5930801.0,4166
Goa,2023,3,5646054.0,3927
Goa,2023,4,7411001.0,4883
Gujarat,2020,2,1430591.0,7697
Gujarat,2020,3,3335812.0,12525
Gujarat,2020,4,6055037.0,9990
Gujarat,2021,1,7288104.0,12673
Gujarat,2021,2,10263998.0,14676
Gujarat,2021,3,12341903.0,15348
Gujarat,2021,4,23282921.0,19142
Gujarat,2022,1,29953433.0,22221
Gujarat,2022,2,32090965.0,25381
Gujarat,2022,3,37557227.0,31302
Gujarat,2022,4,50629325.0,36418
Gujarat,2023,1,46937694.0,32600
Gujarat,2023,2,46254095.0,32484
Gujarat,2023,3,65768085.0,51049
Gujarat,2023,4,66735446.0,41128
Haryana,2020,2,1179814.0,6321
Haryana,2020,3,1884868.0,7139
Haryana,2020,4,5974278.0,8283
Haryana,2021,1,7297880.0,11038
Haryana,2021,2,11272453.0,12516
Haryana,2021,3,13215898.0,14163
Haryana,2021,4,25885838.0,19489
Haryana,2022,1,32526943.0,22783
Haryana,2022,2,33759068.0,25352
Haryana,2022,3,45402800.0,35346
Haryana,2022,4,56627115.0,37971
Haryana,2023,1,61127194.0,37287
Haryana,2023,2,62186066.0,40710
Haryana,2023,3,61782311.0,42815
Haryana,2023,4,80747159.0,47506
Himachal Pradesh,2020,2,77936.0,392
Himachal Pradesh,2020,3,165559.0,531
Himachal Pradesh,2020,4,630966.0,710
Himachal Pradesh,2021,1,906492.0,1064
Himachal Pradesh,2021,2,1402338.0,1210
Himachal Pradesh,2021,3,2444545.0,1759
Himachal Pradesh,2021,4,4667661.0,2474
Himachal Pradesh,2022,1,5234739.0,2768
Himachal Pradesh,2022,2,5371078.0,2831
Himachal Pradesh,2022,3,6161692.0,3641
Himachal Pradesh,2022,4,9060436.0,4565
Himachal Pradesh,2023,1,7826133.0,3909
Himachal Pradesh,2023,2,8499425.0,4197
Himachal Pradesh,2023,3,7869767.0,3935
Himachal Pradesh,2023,4,11898824.0,5211
Jammu & Kashmir,2020,2,48484.0,206
Jammu & Kashmir,2020,3,133339.0,441
Jammu & Kashmir,2020,4,734861.0,647
Jammu & Kashmir,2021,1,1546288.0,1105
Jammu & Kashmir,2021,2,1832089.0,1197
Jammu & Kashmir,2021,3,2139133.0,1452
Jammu & Kashmir,2021,4,5223317.0,3113
Jammu & Kashmir,2022,1,7244267.0,3584
Jammu & Kashmir,2022,2,7729792.0,4071
Jammu & Kashmir,2022,3,8281826.0,4794
Jammu & Kashmir,2022,4,10111183.0,5031
Jammu & Kashmir,2023,1,10275877.0,4555
Jammu & Kashmir,2023,2,10974839.0,5262
Jammu & Kashmir,2023,3,10975874.0,5453
Jammu & Kashmir,2023,4,13932309.0,6264
Jharkhand,2020,2,405031.0,2063
Jharkhand,2020,3,1349934.0,5368
Jharkhand,2020,4,2857024.0,3659
Jharkhand,2021,1,3274851.0,4879
Jharkhand,2021,2,5084230.0,5180
Jharkhand,2021,3,7046048.0,6794
Jharkhand,2021,4,11190423.0,8465
Jharkhand,2022,1,13819466.0,9373
Jharkhand,2022,2,13464840.0,9477
Jharkhand,2022,3,18156857.0,14388
Jharkhand,2022,4,23147805.0,16779
Jharkhand,2023,1,23823406.0,16108
Jharkhand,2023,2,23216215.0,16662
Jharkhand,2023,3,25165702.0,19478
Jharkhand,2023,4,33484644.0,22398
Karnataka,2020,2,4794150.0,27358
Karnataka,2020,3,12407394.0,53701
Karnataka,2020,4,26814968.0,31747
Karnataka,2021,1,30183325.0,37595
Karnataka,2021,2,39501006.0,40969
Karnataka,2021,3,48078366.0,47468
Karnataka,2021,4,90723288.0,74436
Karnataka,2022,1,130733580.0,95640
Karnataka,2022,2,123228632.0,93385
Karnataka,2022,3,144605784.0,110273
Karnataka,2022,4,185063287.0,133971
Karnataka,2023,1,186543426.0,127376
Karnataka,2023,2,175704013.0,117232
Karnataka,2023,3,199448538.0,139699
Karnataka,2023,4,248056311.0,156076
Kerala,2020,2,360216.0,1588
Kerala,2020,3,2830361.0,8811
Kerala,2020,4,4445525.0,5479
Kerala,2021,1,5040506.0,5731
Kerala,2021,2,9676588.0,9530
Kerala,2021,3,13255646.0,10926
Kerala,2021,4,31260319.0,19199
Kerala,2022,1,64172190.0,37110
Kerala,2022,2,59920203.0,35667
Kerala,2022,3,85390924.0,54587
Kerala,2022,4,103982997.0,65563
Kerala,2023,1,101786828.0,62377
Kerala,2023,2,100620604.0,61032
Kerala,2023,3,110021582.0,66059
Kerala,2023,4,121905046.0,73543
Ladakh,2020,2,2538.0,14
Ladakh,2020,3,10260.0,33
Ladakh,2020,4,34206.0,27
Ladakh,2021,1,34530.0,32
Ladakh,2021,2,86251.0,46
Ladakh,2021,3,174052.0,192
Ladakh,2021,4,195966.0,76
Ladakh,2022,1,193935.0,75
Ladakh,2022,2,269446.0,113
Ladakh,2022,3,369742.0,137
Ladakh,2022,4,410091.0,162
Ladakh,2023,1,495736.0,161
Ladakh,2023,2,635831.0,215
Ladakh,2023,3,649027.0,232
Ladakh,2023,4,718967.0,242
Lakshadweep,2020,3,1199.0,4
Lakshadweep,2021,1,5225.0,4
Lakshadweep,2021,2,6962.0,5
Lakshadweep,2021,3,16034.0,19
Lakshadweep,2021,4,17096.0,11
Lakshadweep,2022,1,34664.0,27
Lakshadweep,2022,2,27463.0,18
Lakshadweep,2022,3,41504.0,38
Lakshadweep,2022,4,27135.0,15
Lakshadweep,2023,1,30199.0,26
Lakshadweep,2023,2,38384.0,15
Lakshadweep,2023,3,12407.0,12
Lakshadweep,2023,4,78346.0,53
Madhya Pradesh,2020,2,1198701.0,6283
Madhya Pradesh,2020,3,3496126.0,14476
Madhya Pradesh,2020,4,4897124.0,10653
Madhya Pradesh,2021,1,5567927.0,14427
Madhya Pradesh,2021,2,9787391.0,14803
Madhya Pradesh,2021,3,7806258.0,11990
Madhya Pradesh,2021,4,17524432.0,15069
Madhya Pradesh,2022,1,19901462.0,13791
Madhya Pradesh,2022,2,20159098.0,14629
Madhya Pradesh,2022,3,29185118.0,22733
Madhya Pradesh,2022,4,42712883.0,29234
Madhya Pradesh,2023,1,45135679.0,26393
Madhya Pradesh,2023,2,44871764.0,27027
Madhya Pradesh,2023,3,46963348.0,29300
Madhya Pradesh,2023,4,73801070.0,40784
Maharashtra,2020,2,6879717.0,39836
Maharashtra,2020,3,19230156.0,71662
Maharashtra,2020,4,27113814.0,44798
Maharashtra,2021,1,33137753.0,55792
Maharashtra,2021,2,46763103.0,70381
Maharashtra,2021,3,41313307.0,52268
Maharashtra,2021,4,93262227.0,82423
Maharashtra,2022,1,117411928.0,88015
Maharashtra,2022,2,104603934.0,80935
Maharashtra,2022,3,113835208.0,90958
Maharashtra,2022,4,174915648.0,125900
Maharashtra,2023,1,166596248.0,112174
Maharashtra,2023,2,157303399.0,102754
Maharashtra,2023,3,151171882.0,104872
Maharashtra,2023,4,217657114.0,136968
Manipur,2020,2,12554.0,55
Manipur,2020,3,45164.0,134
Manipur,2020,4,49057.0,90
Manipur,2021,1,72254.0,136
Manipur,2021,2,81332.0,127
Manipur,2021,3,133016.0,111
Manipur,2021,4,271789.0,145
Manipur,2022,1,517854.0,177
Manipur,2022,2,553649.0,218
Manipur,2022,3,403213.0,200
Manipur,2022,4,620655.0,271
Manipur,2023,1,632084.0,222
Manipur,2023,2,341671.0,123
Manipur,2023,3,193021.0,76
Manipur,2023,4,476626.0,225
Meghalaya,2020,2,8829.0,41
Meghalaya,2020,3,33615.0,112
Meghalaya,2020,4,71029.0,92
Meghalaya,2021,1,128776.0,107
Meghalaya,2021,2,148434.0,139
Meghalaya,2021,3,214554.0,139
Meghalaya,2021,4,451612.0,263
Meghalaya,2022,1,729211.0,337
Meghalaya,2022,2,789094.0,379
Meghalaya,2022,3,1039491.0,600
Meghalaya,2022,4,1189529.0,627
Meghalaya,2023,1,1187523.0,562
Meghalaya,2023,2,1551577.0,730
Meghalaya,2023,3,1728076.0,809
Meghalaya,2023,4,1843364.0,806
Mizoram,2020,2,7322.0,31
Mizoram,2020,3,24691.0,74
Mizoram,2020,4,119124.0,81
Mizoram,2021,1,302841.0,415
Mizoram,2021,2,124805.0,187
Mizoram,2021,3,83641.0,81
Mizoram,2021,4,175847.0,100
Mizoram,2022,1,189428.0,85
Mizoram,2022,2,115090.0,76
Mizoram,2022,3,471306.0,310
Mizoram,2022,4,612551.0,350
Mizoram,2023,1,326688.0,171
Mizoram,2023,2,232928.0,119
Mizoram,2023,3,271799.0,166
Mizoram,2023,4,557950.0,312
Nagaland,2020,2,9791.0,41
Nagaland,2020,3,20798.0,89
Nagaland,2020,4,38836.0,62
Nagaland,2021,1,42973.0,79
Nagaland,2021,2,139479.0,85
Nagaland,2021,3,123643.0,91
Nagaland,2021,4,341424.0,183
Nagaland,2022,1,529223.0,242
Nagaland,2022,2,380878.0,186
Nagaland,2022,3,439669.0,210
Nagaland,2022,4,700864.0,367
Nagaland,2023,1,704957.0,320
Nagaland,2023,2,628890.0,269
Nagaland,2023,3,632287.0,268
Nagaland,2023,4,822973.0,331
Odisha,2020,2,615193.0,2981
Odisha,2020,3,2640191.0,10955
Odisha,2020,4,4208701.0,7526
Odisha,2021,1,4383330.0,8236
Odisha,2021,2,5832924.0,7942
Odisha,2021,3,6008686.0,7967
Odisha,2021,4,10941626.0,9093
Odisha,2022,1,14539309.0,9627
Odisha,2022,2,16631095.0,12371
Odisha,2022,3,23308531.0,18898
Odisha,2022,4,33565401.0,24538
Odisha,2023,1,29360555.0,18899
Odisha,2023,2,31307110.0,22163
Odisha,2023,3,29008350.0,20263
Odisha,2023,4,39753392.0,25065
Puducherry,2020,2,22251.0,112
Puducherry,2020,3,58399.0,191
Puducherry,2020,4,197955.0,234
Puducherry,2021,1,351827.0,372
Puducherry,2021,2,508277.0,526
Puducherry,2021,3,556442.0,561
Puducherry,2021,4,946607.0,786
Puducherry,2022,1,1663404.0,1199
Puducherry,2022,2,1597786.0,1156
Puducherry,2022,3,2025529.0,1585
Puducherry,2022,4,2693130.0,2331
Puducherry,2023,1,2593091.0,1955
Puducherry,2023,2,2614006.0,1809
Puducherry,2023,3,2891647.0,2232
Puducherry,2023,4,3419395.0,2447
Punjab,2020,2,399452.0,2036
Punjab,2020,3,684753.0,2488
Punjab,2020,4,1884291.0,2451
Punjab,2021,1,2558380.0,3783
Punjab,2021,2,3768919.0,4047
Punjab,2021,3,5271559.0,4887
Punjab,2021,4,9912828.0,6638
Punjab,2022,1,13155682.0,7475
Punjab,2022,2,15465367.0,9175
Punjab,2022,3,19381895.0,12370
Punjab,2022,4,21727831.0,12187
Punjab,2023,1,23330966.0,10816
Punjab,2023,2,24998175.0,13187
Punjab,2023,3,24461488.0,14048
Punjab,2023,4,28715828.0,13777
Rajasthan,2020,2,1095933.0,5373
Rajasthan,2020,3,3758527.0,15235
Rajasthan,2020,4,6471573.0,12509
Rajasthan,2021,1,8074225.0,17800
Rajasthan,2021,2,14357445.0,18281
Rajasthan,2021,3,12793862.0,16643
Rajasthan,2021,4,24455262.0,19375
Rajasthan,2022,1,31576932.0,21517
Rajasthan,2022,2,33748931.0,24333
Rajasthan,2022,3,45565544.0,33975
Rajasthan,2022,4,60792838.0,40926
Rajasthan,2023,1,61441050.0,34415
Rajasthan,2023,2,61301449.0,37170
Rajasthan,2023,3,64328784.0,39960
Rajasthan,2023,4,94701652.0,49741
Sikkim,2020,2,4789.0,21
Sikkim,2020,3,28000.0,94
Sikkim,2020,4,70214.0,67
Sikkim,2021,1,111777.0,122
Sikkim,2021,2,122064.0,93
Sikkim,2021,3,140552.0,106
Sikkim,2021,4,503532.0,195
Sikkim,2022,1,685987.0,239
Sikkim,2022,2,383709.0,160
Sikkim,2022,3,474940.0,243
Sikkim,2022,4,667214.0,306
Sikkim,2023,1,688605.0,260
Sikkim,2023,2,628191.0,270
Sikkim,2023,3,698251.0,251
Sikkim,2023,4,793745.0,324
Tamil Nadu,2020,2,1075552.0,5473
Tamil Nadu,2020,3,2257373.0,8026
Tamil Nadu,2020,4,8993575.0,10290
Tamil Nadu,2021,1,11180849.0,14406
Tamil Nadu,2021,2,16444344.0,17682
Tamil Nadu,2021,3,23402918.0,23107
Tamil Nadu,2021,4,42184290.0,33037
Tamil Nadu,2022,1,64969045.0,47621
Tamil Nadu,2022,2,61835120.0,46714
Tamil Nadu,2022,3,79747520.0,64356
Tamil Nadu,2022,4,146457790.0,125491
Tamil Nadu,2023,1,116710222.0,90690
Tamil Nadu,2023,2,105328191.0,79698
Tamil Nadu,2023,3,114625593.0,91069
Tamil Nadu,2023,4,139433796.0,104871
Telangana,2020,2,3419453.0,19003
Telangana,2020,3,8406543.0,34395
Telangana,2020,4,11339099.0,20961
Telangana,2021,1,14810947.0,28298
Telangana,2021,2,20935651.0,28870
Telangana,2021,3,20925217.0,27080
Telangana,2021,4,38845492.0,34848
Telangana,2022,1,51942016.0,36325
Telangana,2022,2,58056956.0,45600
Telangana,2022,3,64798126.0,51465
Telangana,2022,4,88544127.0,64655
Telangana,2023,1,82678207.0,54508
Telangana,2023,2,79238968.0,55118
Telangana,2023,3,84397465.0,61523
Telangana,2023,4,105605522.0,63993
Tripura,2020,2,22054.0,88
Tripura,2020,3,61642.0,249
Tripura,2020,4,149765.0,244
Tripura,2021,1,191531.0,360
Tripura,2021,2,409934.0,381
Tripura,2021,3,649961.0,494
Tripura,2021,4,1022508.0,702
Tripura,2022,1,1493401.0,907
Tripura,2022,2,1509105.0,1021
Tripura,2022,3,2105984.0,1590
Tripura,2022,4,2112534.0,1508
Tripura,2023,1,2404958.0,1642
Tripura,2023,2,2163813.0,1563
Tripura,2023,3,2899393.0,2071
Tripura,2023,4,3169741.0,2237
Uttar Pradesh,2020,2,1912266.0,9884
Uttar Pradesh,2020,3,4436969.0,18131
Uttar Pradesh,2020,4,14180417.0,17470
Uttar Pradesh,2021,1,18027573.0,24103
Uttar Pradesh,2021,2,25137571.0,25952
Uttar Pradesh,2021,3,32641118.0,32799
Uttar Pradesh,2021,4,59654951.0,44132
Uttar Pradesh,2022,1,73014969.0,45996
Uttar Pradesh,2022,2,77434953.0,55133
Uttar Pradesh,2022,3,87703512.0,64514
Uttar Pradesh,2022,4,116755813.0,77022
Uttar Pradesh,2023,1,127110494.0,73080
Uttar Pradesh,2023,2,122522457.0,74194
Uttar Pradesh,2023,3,121483170.0,78940
Uttar Pradesh,2023,4,165509877.0,92125
Uttarakhand,2020,2,134899.0,660
Uttarakhand,2020,3,418543.0,1403
Uttarakhand,2020,4,1961891.0,1756
Uttarakhand,2021,1,2719327.0,2607
Uttarakhand,2021,2,3265717.0,2742
Uttarakhand,2021,3,4646571.0,4111
Uttarakhand,2021,4,7849020.0,5529
Uttarakhand,2022,1,8824948.0,5339
Uttarakhand,2022,2,9168313.0,5773
Uttarakhand,2022,3,10070172.0,6784
Uttarakhand,2022,4,13817747.0,8750
Uttarakhand,2023,1,13599026.0,7552
Uttarakhand,2023,2,14034915.0,8051
Uttarakhand,2023,3,12636749.0,7856
Uttarakhand,2023,4,19045152.0,10040
West Bengal,2020,2,1432764.0,7619
West Bengal,2020,3,2878482.0,12596
West Bengal,2020,4,7510455.0,10233
West Bengal,2021,1,11172042.0,15488
West Bengal,2021,2,12396029.0,15200
West Bengal,2021,3,21424337.0,24839
West Bengal,2021,4,31282871.0,26320
West Bengal,2022,1,51160527.0,38779
West Bengal,2022,2,41737021.0,33542
West Bengal,2022,3,59092307.0,47853
West Bengal,2022,4,70466433.0,54277
West Bengal,2023,1,77461732.0,56833
West Bengal,2023,2,65204280.0,49792
West Bengal,2023,3,76359312.0,58131
West Bengal,2023,4,100365562.0,72712
